external_id,title,description,price,old_price,category,image,url,in_stock
B0DY6NDBQY,Mebligo - Ecksofa mit Schaffunktion und Betkasten 287 cm Breit VELANO  Eckcouch  L Shaped Sofa  Big Sofa  Komfort und Still  Wohnlandschaft L-Form  L Couch mit Schlaffunktion - Cord Couch Dunkelgrau,TGllZmVydW5nIGbDvHIgNDkg4oKsIDIxLiAtIDI1LiBOb3Yu,599.00,"",Sofas & Couches,aHR0cHM6Ly9tLm1lZGlhLWFtYXpvbi5jb20vaW1hZ2VzL0kvNzFQTmFkSGFReUwuX0FDX1VMMzIwXy5qcGc=,aHR0cHM6Ly93d3cuYW1hem9uLmRlL3NzcGEvY2xpY2s/aWU9VVRGOCZzcGM9TVRveE5qYzBOVFl5TmpRM05qZzRNak0zT2pFM05qSTJNREk1TkRnNmMzQmZZWFJtWDI1bGVIUTZNekF3TmpFNU56VXdNRGszTkRNeU9qb3dPam8mdXJsPSUyRk1lYmxpZ28tU2NoYWZmdW5rdGlvbi1Xb2hubGFuZHNjaGFmdC1TY2hsYWZmdW5rdGlvbi1EdW5rZWxncmF1JTJGZHAlMkZCMERZNk5EQlFZJTJGcmVmJTNEc3JfMV8zNDBfc3NwYSUzRmtleXdvcmRzJTNEc29mYSUyNnFpZCUzRDE3NjI2MDI5NDglMjZzciUzRDgtMzQwLXNwb25zJTI2YXJlZiUzRGFXVHNraWcyY1AlMjZzcF9jc2QlM0RkMmxrWjJWMFRtRnRaVDF6Y0Y5aGRHWmZibVY0ZEElMjZwc2MlM0QxJmFyZWY9YVdUc2tpZzJjUCZzcF9jcj1EVUI=,1
B0DY6PL1G4,Mebligo - Ecksofa mit Schlaffunktion und Betkasten 237 cm Breit Abrielle  Eckcouch Universelle Form  Sofa mit Bonell Federkern  Couch Wohnzimmer  Ecke Sofa - Beige (Abriamo 03),TGllZmVydW5nIGbDvHIgNDkg4oKsIDIxLiAtIDI1LiBOb3Yu,469.00,"",Sofas & Couches,aHR0cHM6Ly9tLm1lZGlhLWFtYXpvbi5jb20vaW1hZ2VzL0kvNzFNZHcyME1hY0wuX0FDX1VMMzIwXy5qcGc=,aHR0cHM6Ly93d3cuYW1hem9uLmRlL3NzcGEvY2xpY2s/aWU9VVRGOCZzcGM9TVRveE5qYzBOVFl5TmpRM05qZzRNak0zT2pFM05qSTJNREk1TkRnNmMzQmZiWFJtT2pNd01EWXhPVGMxTURBNE9ESXpNam82TURvNiZ1cmw9JTJGTWVibGlnby1TY2hsYWZmdW5rdGlvbi1CZXRrYXN0ZW4tVW5pdmVyc2VsbGUtV29obnppbW1lciUyRmRwJTJGQjBEWTZQTDFHNCUyRnJlZiUzRHNyXzFfMzQxX3NzcGElM0ZrZXl3b3JkcyUzRHNvZmElMjZxaWQlM0QxNzYyNjAyOTQ4JTI2c3IlM0Q4LTM0MS1zcG9ucyUyNmFyZWYlM0RuelFXVWxXNktmJTI2c3BfY3NkJTNEZDJsa1oyVjBUbUZ0WlQxemNGOXRkR1klMjZwc2MlM0QxJmFyZWY9bnpRV1VsVzZLZiZzcF9jcj1EVUI=,1
B0BYF1V659,Ecksofa Dorma mit schlaffunktion  einfacher Aufbau  modernes Design  polstermöbel. Schlafcouch zum Wohnzimmer. Widerstandsfähiges  Minimalistisches Design (POSO 047),TGllZmVydW5nIGbDvHIgNDkg4oKsIDIxLiAtIDI1LiBOb3Yu,478.00,"",Sofas & Couches,aHR0cHM6Ly9tLm1lZGlhLWFtYXpvbi5jb20vaW1hZ2VzL0kvNjFITXdJSkhIUkwuX0FDX1VMMzIwXy5qcGc=,aHR0cHM6Ly93d3cuYW1hem9uLmRlL3NzcGEvY2xpY2s/aWU9VVRGOCZzcGM9TVRveE5qYzBOVFl5TmpRM05qZzRNak0zT2pFM05qSTJNREk1TkRnNmMzQmZiWFJtT2pNd01EWXhPVGMxTURBNU56a3pNam82TURvNiZ1cmw9JTJGc2NobGFmZnVua3Rpb24tcG9sc3Rlcm0lMjVDMyUyNUI2YmVsLVNjaGxhZmNvdWNoLVdpZGVyc3RhbmRzZiUyNUMzJTI1QTRoaWdlcy1NaW5pbWFsaXN0aXNjaGVzJTJGZHAlMkZCMEJZRjFWNjU5JTJGcmVmJTNEc3JfMV8zNDJfc3NwYSUzRmtleXdvcmRzJTNEc29mYSUyNnFpZCUzRDE3NjI2MDI5NDglMjZzciUzRDgtMzQyLXNwb25zJTI2YXJlZiUzREo2bEJaeWtOQVAlMjZzcF9jc2QlM0RkMmxrWjJWMFRtRnRaVDF6Y0Y5dGRHWSUyNnBzYyUzRDEmYXJlZj1KNmxCWnlrTkFQJnNwX2NyPURVQg==,1
B0DX7DX73H,Mebligo - Ecksofa mit Schlaffunktion und Bettkasten Elma  Eckcouch Universelle Seite  Sofa L Form (BxTxH) 223 x 140 x 88 cm  Couch Wohnzimmer  Ecke Sofa  Schwarz (Lux 23),TGllZmVydW5nIGbDvHIgNDksOTkg4oKsIDIwLiAtIDIxLiBOb3Yu,299.00,"",Sofas & Couches,aHR0cHM6Ly9tLm1lZGlhLWFtYXpvbi5jb20vaW1hZ2VzL0kvNjFyekNMNWJKV0wuX0FDX1VMMzIwXy5qcGc=,aHR0cHM6Ly93d3cuYW1hem9uLmRlL3NzcGEvY2xpY2s/aWU9VVRGOCZzcGM9TVRveE5qYzBOVFl5TmpRM05qZzRNak0zT2pFM05qSTJNREk1TkRnNmMzQmZiWFJtT2pNd01EVXhORFk0T0RreE5EZ3pNam82TURvNiZ1cmw9JTJGTWVibGlnby1TY2hsYWZmdW5rdGlvbi1CZXR0a2FzdGVuLVVuaXZlcnNlbGxlLVdvaG56aW1tZXIlMkZkcCUyRkIwRFg3RFg3M0glMkZyZWYlM0Rzcl8xXzM0M19zc3BhJTNGa2V5d29yZHMlM0Rzb2ZhJTI2cWlkJTNEMTc2MjYwMjk0OCUyNnNyJTNEOC0zNDMtc3BvbnMlMjZhcmVmJTNESGhJckF5djV2eCUyNnNwX2NzZCUzRGQybGtaMlYwVG1GdFpUMXpjRjl0ZEdZJTI2cHNjJTNEMSZhcmVmPUhoSXJBeXY1dngmc3BfY3I9RFVC,1
B0DX7GGS65,Mebligo - Ecksofa mit Schlaffunktion und 3 Bettkasten FORESTA 302x89x159 (BxHxT) Beige - Couch U Form  Sofa im Sitz: Wellenfeder + Schaumstoff  Sofas & Couches  Eckcouch,TGllZmVydW5nIGbDvHIgNDksOTkg4oKsIDIwLiAtIDIxLiBOb3Yu,599.00,"",Sofas & Couches,aHR0cHM6Ly9tLm1lZGlhLWFtYXpvbi5jb20vaW1hZ2VzL0kvNTFMZmw0R2FWK0wuX0FDX1VMMzIwXy5qcGc=,aHR0cHM6Ly93d3cuYW1hem9uLmRlL3NzcGEvY2xpY2s/aWU9VVRGOCZzcGM9TVRveE5qYzBOVFl5TmpRM05qZzRNak0zT2pFM05qSTJNREk1TkRnNmMzQmZiWFJtT2pNd01EWXhPVGMxTURBNE9URXpNam82TURvNiZ1cmw9JTJGTWVibGlnby1TY2hsYWZmdW5rdGlvbi1CZXR0a2FzdGVuLVdlbGxlbmZlZGVyLVNjaGF1bXN0b2ZmJTJGZHAlMkZCMERYN0dHUzY1JTJGcmVmJTNEc3JfMV8zNDRfc3NwYSUzRmtleXdvcmRzJTNEc29mYSUyNnFpZCUzRDE3NjI2MDI5NDglMjZzciUzRDgtMzQ0LXNwb25zJTI2YXJlZiUzRGttSnJPa01LOW4lMjZzcF9jc2QlM0RkMmxrWjJWMFRtRnRaVDF6Y0Y5dGRHWSUyNnBzYyUzRDEmYXJlZj1rbUpyT2tNSzluJnNwX2NyPURVQg==,1
B09WQNYPMN,Wohnlandschaft Tokio II mit Schlaffunktion! Best Wohnlandschaft! Eckcouch mit Bettkasten! HIT! (Jasmine 96 + Soft 11 Links),TGllZmVydW5nIGbDvHIgNDkg4oKsIDIxLiAtIDI1LiBOb3Yu,930.00,"",Sofas & Couches,aHR0cHM6Ly9tLm1lZGlhLWFtYXpvbi5jb20vaW1hZ2VzL0kvMzFwLXpMLWtUQ0wuX0FDX1VMMzIwXy5qcGc=,aHR0cHM6Ly93d3cuYW1hem9uLmRlL3NzcGEvY2xpY2s/aWU9VVRGOCZzcGM9TVRveE5qYzBOVFl5TmpRM05qZzRNak0zT2pFM05qSTJNREk1TkRnNmMzQmZiWFJtT2pNd01EWXhPVGMxTURBNU1qTXpNam82TURvNiZ1cmw9JTJGV29obmxhbmRzY2hhZnQtU2NobGFmZnVua3Rpb24tRWNrY291Y2gtQmV0dGthc3Rlbi1KYXNtaW5lJTJGZHAlMkZCMDlXUU5ZUE1OJTJGcmVmJTNEc3JfMV8zNDVfc3NwYSUzRmtleXdvcmRzJTNEc29mYSUyNnFpZCUzRDE3NjI2MDI5NDglMjZzciUzRDgtMzQ1LXNwb25zJTI2YXJlZiUzRHlrVWdIaE9uWTklMjZzcF9jc2QlM0RkMmxrWjJWMFRtRnRaVDF6Y0Y5dGRHWSUyNnBzYyUzRDEmYXJlZj15a1VnSGhPblk5JnNwX2NyPURVQg==,1
B09W9HKN94,Wohnlandschaft Tokio V mit Schlaffunktion! Best Wohnlandschaft! Eckcouch mit Bettkasten! HIT! (Jasmine 96 + Soft 11 Links),TGllZmVydW5nIGbDvHIgNDkg4oKsIDIxLiAtIDI1LiBOb3Yu,753.00,"",Sofas & Couches,aHR0cHM6Ly9tLm1lZGlhLWFtYXpvbi5jb20vaW1hZ2VzL0kvMzE0RFd1RVQwekwuX0FDX1VMMzIwXy5qcGc=,aHR0cHM6Ly93d3cuYW1hem9uLmRlL3NzcGEvY2xpY2s/aWU9VVRGOCZzcGM9TVRveE5qYzBOVFl5TmpRM05qZzRNak0zT2pFM05qSTJNREk1TkRnNmMzQmZiWFJtT2pNd01EWXhPVGMxTURBNU5qRXpNam82TURvNiZ1cmw9JTJGV29obmxhbmRzY2hhZnQtU2NobGFmZnVua3Rpb24tRWNrY291Y2gtQmV0dGthc3Rlbi1KYXNtaW5lJTJGZHAlMkZCMDlXOUhLTjk0JTJGcmVmJTNEc3JfMV8zNDZfc3NwYSUzRmtleXdvcmRzJTNEc29mYSUyNnFpZCUzRDE3NjI2MDI5NDglMjZzciUzRDgtMzQ2LXNwb25zJTI2YXJlZiUzRGNHajlleG8wZGUlMjZzcF9jc2QlM0RkMmxrWjJWMFRtRnRaVDF6Y0Y5dGRHWSUyNnBzYyUzRDEmYXJlZj1jR2o5ZXhvMGRlJnNwX2NyPURVQg==,1
B0FJXHVN6D,JIEXI Sofa 3 Sitzer Schlafsofa mit Schlaffunktion  Klappsofa Sofa 3 Sitzer  Schlafsofa 190x75cm  Bequemes Geeignet Für Wohnzimmer  Zimmer  Schlafzimmer (Dunkel Grau),R1JBVElTIExpZWZlcnVuZyAxNC4gLSAxNy4gTm92LiBOdXIgbm9jaCAzIGF1ZiBMYWdlcg==,267.00,"",Sofas & Couches,aHR0cHM6Ly9tLm1lZGlhLWFtYXpvbi5jb20vaW1hZ2VzL0kvODFRRmZpLS1EcUwuX0FDX1VMMzIwXy5qcGc=,aHR0cHM6Ly93d3cuYW1hem9uLmRlL3NzcGEvY2xpY2s/aWU9VVRGOCZzcGM9TVRveE5qYzBOVFl5TmpRM05qZzRNak0zT2pFM05qSTJNREk1TkRnNmMzQmZiWFJtT2pNd01EWXpOemMzTXpneU5EZ3pNam82TURvNiZ1cmw9JTJGSklFWEktU2NobGFmc29mYS1TY2hsYWZmdW5rdGlvbi1Xb2huemltbWVyLVNjaGxhZnppbW1lciUyRmRwJTJGQjBGSlhIVk42RCUyRnJlZiUzRHNyXzFfMzQ3X3NzcGElM0ZrZXl3b3JkcyUzRHNvZmElMjZxaWQlM0QxNzYyNjAyOTQ4JTI2c3IlM0Q4LTM0Ny1zcG9ucyUyNmFyZWYlM0RlTG5WQTJMYXE5JTI2c3BfY3NkJTNEZDJsa1oyVjBUbUZ0WlQxemNGOXRkR1klMjZwc2MlM0QxJmFyZWY9ZUxuVkEyTGFxOSZzcF9jcj1EVUI=,1
B0DX7FGMLN,Mebligo - Ecksofa mit Schlaffunktion und Bettkasten Elma  Eckcouch mit Ottomane Links  Sofa L Form (BxTxH) 223 x 172 x 88 cm  Couch Wohnzimmer  Ecke Sofa  Schwarz (Lux 23),TGllZmVydW5nIGbDvHIgNDksOTkg4oKsIDIwLiAtIDIxLiBOb3Yu,349.00,"",Sofas & Couches,aHR0cHM6Ly9tLm1lZGlhLWFtYXpvbi5jb20vaW1hZ2VzL0kvNjF0N3hiMFFGTkwuX0FDX1VMMzIwXy5qcGc=,aHR0cHM6Ly93d3cuYW1hem9uLmRlL3NzcGEvY2xpY2s/aWU9VVRGOCZzcGM9TVRveE5qYzBOVFl5TmpRM05qZzRNak0zT2pFM05qSTJNREk1TkRnNmMzQmZiWFJtT2pNd01EVXhORFk0T0RreE5qSXpNam82TURvNiZ1cmw9JTJGTWVibGlnby1TY2hsYWZmdW5rdGlvbi1CZXR0a2FzdGVuLUVja2NvdWNoLVdvaG56aW1tZXIlMkZkcCUyRkIwRFg3RkdNTE4lMkZyZWYlM0Rzcl8xXzM0OF9zc3BhJTNGa2V5d29yZHMlM0Rzb2ZhJTI2cWlkJTNEMTc2MjYwMjk0OCUyNnNyJTNEOC0zNDgtc3BvbnMlMjZhcmVmJTNEbGF3RDVaMGlmVyUyNnNwX2NzZCUzRGQybGtaMlYwVG1GdFpUMXpjRjl0ZEdZJTI2cHNjJTNEMSZhcmVmPWxhd0Q1WjBpZlcmc3BfY3I9RFVC,1
B0F5BH45B5,ELONEO Gel Topper 80x190cm  Matratzentopper aus 8 cm hohem Gel-Memory- Schaum  atmungsaktiver 3D-Netz Bezug  Bequeme Matratzenauflage für Bett und Boxspringbett inkl. Eckschlaufen,R1JBVElTIExpZWZlcnVuZyAxMS4gLSAxMi4gTm92Lg==,76.49,"",Boxspringbetten,aHR0cHM6Ly9tLm1lZGlhLWFtYXpvbi5jb20vaW1hZ2VzL0kvNzFTTUxpVEtuVkwuX0FDX1VMMzIwXy5qcGc=,aHR0cHM6Ly93d3cuYW1hem9uLmRlL3NzcGEvY2xpY2s/aWU9VVRGOCZzcGM9TVRvME16RTJOekk0TmpVMk5qTXdPVEE2TVRjMk1qWXdNelEzTXpwemNGOWhkR1pmYm1WNGREb3pNREExTlRNek5USTNORFEzTXpJNk9qQTZPZyZ1cmw9JTJGRUxPTkVPLU1hdHJhdHplbnRvcHBlci1hdG11bmdzYWt0aXZlci1NYXRyYXR6ZW5hdWZsYWdlLUJveHNwcmluZ2JldHQlMkZkcCUyRkIwRjVCSDQ1QjUlMkZyZWYlM0Rzcl8xXzMzOV9zc3BhJTNGa2V5d29yZHMlM0Rib3hzcHJpbmdiZXR0ZW4lMjZxaWQlM0QxNzYyNjAzNDczJTI2c3IlM0Q4LTMzOS1zcG9ucyUyNmFyZWYlM0RSZjF4aU55THUyJTI2c3BfY3NkJTNEZDJsa1oyVjBUbUZ0WlQxemNGOWhkR1pmYm1WNGRBJTI2cHNjJTNEMSZhcmVmPVJmMXhpTnlMdTImc3BfY3I9RFVC,1
